MS_NR;MS_DESC;CALENDAR_NR;BUFER
100;???? ????? Lisec GFB ??;1008;6
102;???? ????? Lisec ESL ??;1028;6
103;Dynopt_LowE;1038;0
104;Dynopt_Multi;1048;0
105;Dynopt_A;1058;0
201;Busetti2200;20114;0
211;Master edge;21115;0
212;MASTER 23;21216;0
213;MASTER 43;21356;7
240;GlassJet;24050;8
241;Fleischle2;2413;0
242;Ino Ziri (????);24224;25
243;????????;24325;11
247;GlassLine;24783;12
248;Rollmac Jumbo;248225;12
250;Tamglass HTF PROe;2507;6
270;North Glass;27011;6
290;EVA???;29029;12
300;LAM Line Tamglass;90005;10
301;LAM Line Tamglass Common;90005;0
302;???????? Tamglass;90006;0
303;???????????? ????????;303310;0
310;LAM Line Lisec;31010;12
312;???????? Italmatic;90006;10
320;LAM Line Lisec3300;90005;10
322;???????? Akarmak 6;90006;0
323;???????? Akarmak 12;90006;0
325;LAM Line Benteller 3312;90005;10
340;?? ???????(C?);34019;18
350;???????-?????????;35019;0
400;Manual Frame Cutting;40020;0
500;LENHARDT-???;50021;12
501;manual IG-Line;50137;12
502;manual IG-Line(Window);50221;0
510;LENHARDT-?????;51021;12
515;Lisec-??????????;51521;0
550;SprIG;5508;0
600;???????? ???. ??;60043;0
601;??????????;6011;0
602;????? Tenon;90007;2
603;?????????? ???;6031;0
604;????? Lisec;90007;24
605;???????????;6051;0
700;LOADING WINDOW;70045;0
730;UF-?????? (????????);7305;0
800;?????????????????;8006;0
801;?????? ????????;8016;0
806;?????????????? GDS/ULSP;80612;18
900;PUTSCH MEN;90040;0
1000;Lisec ESL M1 Blue;90001;6
1001;Lisec ESL M1 Red;90001;6
1002;Lisec GFB-VB;100258;6
1004;Lisec GFB M2 ???????;100459;6
1005;Hegla Galactic 1233;100569;6
1050;HEGLA2 M1 Blue;90001;6
1051;HEGLA1 M1 Red;90001;6
1500;TORGAUER ?????????;90010;15
1501;TORGAUER ????????;90009;12
1502;TORGAUER 2 ?????????;90010;15
1503;TORGAUER 2 ????????;90009;12
1504;TORGAUER jumbo ?????????;90010;15
1505;TORGAUER jumbo ????????;90009;12
1506;TORGAUER 12m ?????????;90010;15
1507;TORGAUER 12m ????????;90009;12
1600;Pujol ?????????;90010;15
1601;Pujol ????????;90009;12
1700;????????? ????????;17001700;24
2010;Busetti3300;201034;0
2020;Benteler;2020134;6
2050;FOREL32;90003;5
2060;FOREL 2 (?????. ????);206028;6
2110;FORVET3300;211034;0
2120;MASTER 23-2;2120160;0
2150;FOREL 1;90003;5
2151;FOREL Common;215161;0
2160;FOREL 25-3;90003;5
2170;KBF-60/33;90004;6
2171;KBF-Common;90004;0
2201;Benteller12-1;90002;0
2202;Benteller12-2;90002;0
2203;Systron;90004;6
2500;Magnum;90008;6
2510;Magnum(?? ???);251080;0
2520;Robotemp ???????;90008;6
2530;North Glass 6;90008;6
2540;North Glass 12;90008;6
3500;?????? ????;3500410;6
3510;?????? ????;351041;6
4000;BSV;400032;0
5000;LisecROBOT;500031;0
5050;LisecIG New;505030;10
5051;LisecIG 120/33;5051130;10
5100;Bystronic;510033;18
5400;Control;90011;0
5401;Control Pyropane;90011;0
5500;Box;550043;0
5800;PackingIG;580043;6
5900;PackingSG;590043;6
6000;?????? ????????;90012;6
6500;???????? ?????????;90012;6
7000;LOADING;700049;0
